gender_female,gender_male,race/ethnicity_group A,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,parental level of education_associate's degree,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_free/reduced,lunch_standard,test preparation course_completed,test preparation course_none,average score,success
True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,0.325171300496994,False
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,0.977606730733843,False
True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,1.6634315710623298,False
False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,-1.2257288737538719,False
False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,0.5721482946396265,False
True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,0.6422292684028109,False
True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,1.597496061838554,False
False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,-1.8092141951878362,False
False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,-0.18714933409667636,False
True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,-1.22346792406954,False
False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,-0.876742423899049,False
False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,-1.5158463549733237,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,0.35484425569959405,False
False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,0.36934834876773276,False
True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,-0.9438559499663152,False
True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,0.415503435423661,False
False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,1.3287606067428845,False
True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,-2.785768710980981,False
False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,-1.546461567603462,False
True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,-0.6758269928822326,False
